CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
SourceConfigurationManagement,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SourceConfigurationManagement,startedAtTime,dateTime,,The time an activity was started
SourceConfigurationManagement,title,string,,"A short, human-readable identifying label."
SourceConfigurationManagement,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SourceConfigurationManagement,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SourceConfigurationManagement,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
StructualCoverageAnalysis,,,,
StructualCoverageAnalysis,CoveredNodes,int,,
StructualCoverageAnalysis,UncoveredNodes,int,,
StructualCoverageAnalysis,performedBy,AGENT,,"Entity that is responsible for producing an analysis, could be a person or a tool. "
StructualCoverageAnalysis,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
StructualCoverageAnalysis,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
StructualCoverageAnalysis,endedAtTime,dateTime,,The time an activity was ended
StructualCoverageAnalysis,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
StructualCoverageAnalysis,startedAtTime,dateTime,,The time an activity was started
StructualCoverageAnalysis,title,string,,"A short, human-readable identifying label."
StructualCoverageAnalysis,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
StructualCoverageAnalysis,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
StructualCoverageAnalysis,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
StructuralCoverageReport,,,,
StructuralCoverageReport,analyzes,ENTITY,,ENTITY(s) under analysis
StructuralCoverageReport,metric,float,,provides a numerical result value from the analysis that was performed
StructuralCoverageReport,producedBy,ACTIVITY,,ACTIVITY(s) (e.g. ANALYSIS) producing this report
StructuralCoverageReport,result,ANALYSIS_RESULT,,Passed/Failed/Indeterminate status of this report
StructuralCoverageReport,definedIn,FILE,,The file an ENTITY is defined or contained in
StructuralCoverageReport,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
StructuralCoverageReport,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
StructuralCoverageReport,generatedAtTime,dateTime,,The time this entity was created and available for use
StructuralCoverageReport,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
StructuralCoverageReport,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
StructuralCoverageReport,title,string,,"A short, human-readable identifying label."
StructuralCoverageReport,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
StructuralCoverageReport,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
StructuralCoverageReport,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
StructuralCoverageReport,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
StructuralCoverageReport,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SystemComponent,,,,
SystemComponent,definedIn,FILE,,The file an ENTITY is defined or contained in
SystemComponent,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SystemComponent,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SystemComponent,generatedAtTime,dateTime,,The time this entity was created and available for use
SystemComponent,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SystemComponent,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SystemComponent,title,string,,"A short, human-readable identifying label."
SystemComponent,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SystemComponent,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SystemComponent,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SystemComponent,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SystemComponent,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SystemComponent,function,FUNCTION,,functionality / capability of a SYSTEM
SystemComponent,partOf,SYSTEM,,Used to define a relationship to a higher level system
SystemComponent,producedBy,ACTIVITY,,ACTIVITY(s) participating in developing this SYSTEM
SystemComponent,provides,FUNCTION,,List of entities that this SYSTEM provides to others
SystemComponent,requires,FUNCTION,,List of entities that this SYSTEM requires from others
SystemInterfaceDefinition,,,,
SystemInterfaceDefinition,definedIn,FILE,,The file an ENTITY is defined or contained in
SystemInterfaceDefinition,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SystemInterfaceDefinition,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SystemInterfaceDefinition,generatedAtTime,dateTime,,The time this entity was created and available for use
SystemInterfaceDefinition,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SystemInterfaceDefinition,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SystemInterfaceDefinition,title,string,,"A short, human-readable identifying label."
SystemInterfaceDefinition,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SystemInterfaceDefinition,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SystemInterfaceDefinition,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SystemInterfaceDefinition,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SystemInterfaceDefinition,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SystemInterfaceDefinition,commodity,string,,the thing conveyed by the interface
SystemInterfaceDefinition,destination,SYSTEM,,SYSTEM that requires what the INTERFACE offers
SystemInterfaceDefinition,identifiedBy,ACTIVITY,,ACTIVITY out of which this INTERFACE was identified
SystemInterfaceDefinition,source,SYSTEM,,SYSTEM that provides what the INTERFACE offers
SystemRequirement,,,,
SystemRequirement,definedIn,FILE,,The file an ENTITY is defined or contained in
SystemRequirement,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SystemRequirement,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SystemRequirement,generatedAtTime,dateTime,,The time this entity was created and available for use
SystemRequirement,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SystemRequirement,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SystemRequirement,title,string,,"A short, human-readable identifying label."
